,Holiday - B.1.177,Alpha - B.1.1.7,Delta - B.1.617.2,Omicron - BA.1,Omicron - BA.2,Omicron - BA.2.75,Omicron - BA.4&5,Omicron - BQ.1,Omicron - XBB
915,,,,,,0.01867824269039983,0.3471899250587293,0.32044014468224835,0.020308038632833814
916,,,,,,0.018953751312336883,0.33621073004370305,0.3288161790980046,0.02140476627175758
917,,,,,,0.01926224780744474,0.3253952309843546,0.3370552580263496,0.022546036414837545
918,,,,,,0.019607482455952636,0.3147607165020093,0.3451602363740831,0.023730178863615947
919,,,,,,0.01999351099783723,0.3043231395941324,0.3531348299525019,0.024955132283707826
920,,,,,,0.020424679775054473,0.2940970277688008,0.3609833159086876,0.026218448882559642
921,,,,,,0.020905602456877347,0.2840954147543908,0.36871024135575226,0.027517304850789515
922,,,,,,0.021441128238372773,0.27432979330636376,0.3763201457228095,0.028848516536413626
923,,,,,,0.02203630179305756,0.264810088175524,0.38381730176074424,0.030208562269763206
924,,,,,,0.022696315694271295,0.2555446479554292,0.3912054795792859,0.03159360966685654
925,,,,,,0.023426456469922245,0.2465402542938241,0.39848773753115496,0.0329995481640708
926,,,,,,0.02423204589010469,0.23780214682831036,0.40566624317158134,0.034422026478978296
927,,,,,,0.025118379470575176,0.2293340621778715,0.4127421268809139,0.03585649459284923
928,,,,,,0.026090664470757335,0.22113828536857888,0.4197153700194934,0.037298249789841975
929,,,,,,0.027153959839116115,0.21321571217011154,0.42658472867955866,0.038742486185469716
930,,,,,,0.028313120584833464,0.20556592094586204,0.4333476932128912,0.04018434711520058
931,,,,,,0.029572748916940676,0.19818725274919757,0.44000048276703635,0.04161897964866057
932,,,,,,0.030937154187939707,0.19107689851253234,0.4465380730951919,0.04304159045011602
933,,,,,,0.03241032322168002,0.18423099225989636,0.45295425496747554,0.044447502121101934
934,,,,,,0.03399590202212696,0.17764470931972218,0.4592417196621439,0.04583220913320929
935,,,,,,0.035697189191533196,0.17131236852160775,0.465392167311367,0.04719143243482904
