,B.1.177,B.1.1.7 - Alpha,B.1.617.2 - Delta,BA.1 - Omicron,BA.2 - Omicron,BA.4&5 - Omicron
137,0.048884667601360565,,,,,
138,0.05106312674193014,,,,,
139,0.053121091631673334,,,,,
140,0.05505255967956324,,,,,
141,0.05685178861872098,,,,,
142,0.058513353406292934,,,,,
143,0.06003221341710785,,,,,
144,0.06140378421045156,,,,,
145,0.06262400752040453,,,,,
146,0.06368941338164236,,,,,
147,0.06459716924870107,,,,,
148,0.06534511215718353,,,,,
149,0.06593176188419259,,,,,
150,0.06635631473410464,,,,,
151,0.06661861952222659,,,,,
152,0.0667191386120406,,,,,
153,0.06665889809915726,,,,,
154,0.06643943179296297,,,,,
155,0.0660627237093705,,,,,
156,0.0655311535159267,,,,,
157,0.06484744857332675,,,,,
158,0.06401464530305134,,,,,
159,0.06303606148213964,,,,,
160,0.06191527987679307,,,,,
161,0.060656142680789754,,,,,
162,0.05926275522539447,,,,,
163,0.057739496852808984,,,,,
164,0.056091036394237015,,,,,
165,0.05432234950935275,,,,,
166,0.05243873532186345,,,,,
167,0.0504458299423714,,,,,
168,0.04834961503066376,,,,,
169,0.04615641997823622,,,,,
170,0.04387291696454437,,,,,
171,0.04150610859863274,,,,,
172,0.03906330844796596,,,,,
173,0.036552115105620564,,,,,
174,0.033980380739629945,,,,,
175,0.03135617528768453,,,,,
176,0.028687747470123925,,,,,
177,0.025983483748835412,,,,,
178,0.023251866322940073,,,,,
179,0.020501430960147116,,,,,
180,0.017740725401599322,,,,,
181,0.01497826874978736,,,,,
182,0.012222512192250568,,,,,
183,0.009481801130809875,,,,,
184,0.006764338779154833,,,,,
185,0.0040781510926369835,,,,,
186,0.00143105292236545,,,,,
187,-0.0011693847497963317,,,,,
188,-0.003715866688437819,,,,,
189,-0.0062014044427564086,,,,,
190,-0.00861934667248887,,,,,
191,-0.010963408690458532,0.10668165503950355,,,,
192,-0.013227701209396425,0.11118941883095745,,,,
193,-0.015406758102885831,0.11506046223149458,,,,
194,-0.017495562969312317,0.11827862830743419,,,,
195,-0.019489574229363593,0.12085487789692184,,,,
196,-0.021384748407238585,0.12282468313085593,,,,
197,-0.023177561209049458,0.12424171086934566,,,,
198,-0.024865026059536444,0.12516933114301,,,,
199,-0.026444709656376686,0.12567177049141876,,,,
200,-0.02791474423828244,0.1258065609357617,,,,
201,-0.029273836230583994,0.1256194404743538,,,,
202,-0.030521271063548072,0.1251422045046895,,,,
203,-0.031656914003800274,0.12439335783918848,,,,
204,-0.032681206938367624,0.1233809077903274,,,,
205,-0.03359516117500655,0.12210635891222443,,,,
206,-0.03440034636240219,0.12056893411706437,,,,
207,-0.03509887578914095,0.11876922630070519,,,,
208,-0.035693388276684945,0.11671178421698403,,,,
209,-0.03618702706023341,0.11440646726239923,,,,
210,-0.036583415937312375,0.11186867451899185,,,,
211,-0.03688663309623409,0.10911872573494819,,,,
212,-0.03710118290773051,0.10618073334902434,,,,
213,-0.037231966012651496,0.10308128151385643,,,,
214,-0.037284247971838616,0.09984815450942586,,,,
215,-0.03726362666784122,0.09650926555825712,,,,
216,-0.03717599867291646,0.09309185464918979,,,,
217,-0.03702752464754666,0.08962195930888894,,,,
218,-0.036824593947672096,0.08612412380988022,,,,
219,-0.03657378842374098,0.0826212922069498,,,,
220,-0.03628184550124325,0.07913482588362919,,,,
221,-0.03595562062493268,0.0756845937987512,,,,
222,-0.03560204903249076,0.07228909185839105,,,,
223,-0.03522810703350182,0.06896556155520484,,,,
224,-0.034840772803072795,0.06573008808704622,,,,
225,-0.034446986843717164,0.06259766834144244,,,,
226,-0.03405361225946674,0.059582245441242986,,,,
227,-0.033667395009965184,0.056696712554804934,,,,
228,-0.03329492432654507,0.053952890538400355,,,,
229,-0.032942593527084285,0.05136148650630743,,,,
230,-0.03261656145816927,0.04893203993751315,,,,
231,-0.03232271479844562,0.046672863648809876,,,,
232,-0.03206663147666833,0.04459098417608437,,,,
233,-0.03185354548573771,0.04269208790447243,,,,
234,-0.03168831326887378,0.040980475126378035,,,,
235,-0.03157538200825627,0.03945902549379393,,,,
236,-0.03151875996899467,0.038129175940057436,,,,
237,-0.03152198913345239,0.03699091237261404,,,,
238,-0.0315881203324041,0.036042774880614525,,,,
239,-0.03171969104907679,0.03528187674179545,,,,
240,-0.03191870600221558,0.03470393623407464,,,,
241,-0.03218662074952039,0.03430332068759023,,,,
242,-0.03252432832026375,0.03407310196089375,,,,
243,-0.03293214907639286,0.03400512200217398,,,,
244,-0.033409823894462676,0.03409006805890957,,,,
245,-0.033956510713607946,0.034317555903939145,,,,
246,-0.03457078461992502,0.0346762207604816,,,,
247,-0.03525064157050006,0.0351538146050665,,,,
248,-0.03599350583006666,0.03573730935348818,,,,
249,-0.03679624134013593,0.03641300492523558,,,,
250,-0.03765516712913719,0.03716664176478157,,,,
251,-0.03856607696082226,0.03798351710573977,,,,
252,-0.039524263460353204,0.03884860439077087,,,,
253,-0.04052454684815854,0.03974667545760524,,,,
254,-0.041561308557321874,0.040662424786633844,,,,
255,-0.04262852982079446,0.04158059549382531,,,,
256,-0.04371983535447299,0.042486106081782715,,,,
257,-0.04482854206733511,0.043364177598285814,,,,
258,-0.04594771264953801,0.04420045969468034,,,,
259,-0.047070213482604206,0.044981155005678675,,,,
260,-0.0481887763215727,0.04569313977376965,,,,
261,-0.049296062584884615,0.046324079522602535,,,,
262,-0.05038472874045863,0.04686253752925129,,,,
263,-0.051447491258218125,0.047298074209216834,,,,
264,-0.05247718856864769,0.04762133515571598,,,,
